About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    Payton Hobart, a student from Santa Barbara, has known since age seven that he's going to be President of the United States. But first he'll have to navigate the most treacherous political landscape of all: Saint Sebastian High School.
            ",Ian Brennan,"Zoey Deutch,Ben Platt,Lucy Boynton,See full cast & crew",Comedy,"
                        42min
                    ",Serie,"12,832",7.5,"Hollywood,Special,Pose,American Crime Story,Bonding,Glee,Never Have I Ever,Dead to Me,Feud: Bette and Joan,Sex Education,I Am Not Okay with This,Living with Yourself",The Politician             
"
                    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
            ",Frank Darabont,"Stephen King,Frank Darabont",Crime,"
                        3h 9min
                    ",Movie,"1,094,109",8.6,"Saving Private Ryan,Léon: The Professional,Se7en,Forrest Gump,Fight Club,Gladiator,The Silence of the Lambs,The Pianist,Pulp Fiction,Schindler's List,The Matrix,American History X",The Green Mile 
"
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            ",Peter Jackson,"J.R.R. Tolkien,Fran Walsh,2 more credits",Adventure,"
                        3h 21min
                    ",Movie,"1,585,824",8.9,"The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,The Matrix,Fight Club,Pulp Fiction,Inception,Schindler's List,Star Wars: Episode V - The Empire Strikes Back,Gladiator,Forrest Gump,Se7en",The Lord of the Rings: The Return of the King 
"
                    Jack Bauer, Director of Field Ops for the Counter-Terrorist Unit of Los Angeles, races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
            ",Robert Cochran,"Kiefer Sutherland,Mary Lynn Rajskub,Carlos Bernard,See full cast & crew",Action,"
                        44min
                    ",Serie,"167,248",8.3,"24: Live Another Day,24: Redemption,24: Legacy,Lost,Designated Survivor,Prison Break,Heroes,Person of Interest,Dexter,Fringe,The Shield,Homeland",24             
"
                    A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
            ",Gemma Baker,"Anna Faris,Allison Janney,Mimi Kennedy,See full cast & crew",Comedy,"
                        30min
                    ",Serie,"26,564",7.2,"2 Broke Girls,Mike & Molly,Young Sheldon,The Goldbergs,American Housewife,The Middle,The Neighborhood,Last Man Standing,Two and a Half Men,Man with a Plan,Will & Grace,Carol's Second Act",Mom             
"
                    A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.
            ",Peter Berg,"Kyle Chandler,Connie Britton,Zach Gilford,See full cast & crew",Drama,"
                        44min
                    ",Serie,"53,864",8.6,"Friday Night Lights,The West Wing,The Newsroom,Parenthood,Freaks and Geeks,Parks and Recreation,Justified,One Tree Hill,Seinfeld,Dexter,Arrested Development,Downton Abbey",Friday Night Lights             
"
                    A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series 'The Baker and the Beauty'.
            ",Dean Georgaris,"Victor Rasuk,Nathalie Kelley,Dan Bucatinsky,See full cast & crew",Comedy,,Serie,"1,038",7.1,"Council of Dads,Lehiyot Ita,The Bachelor Presents: Listen to Your Heart,Sweet Magnolias,Zoey's Extraordinary Playlist,Almost Paradise,Upload,Transplant,Penny Dreadful: City of Angels,Outer Banks,Mrs. America,Miss Scarlet and the Duke",The Baker and the Beauty             
"
                    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
            ",Darren Aronofsky,"Hubert Selby Jr.,Hubert Selby Jr.,1 more credit",Drama,"
                        1h 42min
                    ",Movie,"739,396",8.3,"Eternal Sunshine of the Spotless Mind,A Clockwork Orange,American Beauty,American History X,Memento,Léon: The Professional,A Beautiful Mind,The Truman Show,Reservoir Dogs,V for Vendetta,Good Will Hunting,Taxi Driver",Requiem for a Dream 
"
                    An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
            ",Terence Winter,"Steve Buscemi,Kelly Macdonald,Michael Shannon,See full cast & crew",Crime,"
                        55min
                    ",Serie,"166,843",8.5,"The Sopranos,Deadwood,The Wire,Rome,Oz,True Detective,Justified,The Shield,House of Cards,Dexter,Mad Men,Sons of Anarchy",Boardwalk Empire             
"
                    These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend.
            ",Johnny Capps,"John Hurt,Colin Morgan,Bradley James,See full cast & crew",Adventure,"
                        45min
                    ",Serie,"70,057",7.9,"Merlin: Secrets & Magic,Legend of the Seeker,Robin Hood,Once Upon a Time,Grimm,Merlin,Teen Wolf,The Musketeers,The Shannara Chronicles,Shadowhunters,Torchwood,Being Human",Merlin             
"
                    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by ",Jenny Gage,"Susan McMartin,Tamara Chestna,3 more credits",Drama,"
                        1h 45min
                    ",Movie,"27,780",5.4,"The Kissing Booth,Five Feet Apart,To All the Boys I've Loved Before,Midnight Sun,Fifty Shades of Grey,To All the Boys: P.S. I Still Love You,Fifty Shades Darker,The Perfect Date,Sierra Burgess Is a Loser,Fifty Shades Freed,The Last Summer,Twilight",After 
"
                    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.
            ",Luc Besson,Luc Besson,Action,"
                        1h 50min
                    ",Movie,"993,290",8.5,"The Green Mile,Se7en,Fight Club,American History X,Pulp Fiction,Saving Private Ryan,The Pianist,The Usual Suspects,The Matrix,The Silence of the Lambs,The Intouchables,Gladiator",Léon: The Professional 
"
                    Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.
            ",Richard Levinson,"Peter Falk,Mike Lally,John Finnegan,See full cast & crew",Crime,"
                        1h 40min
                    ",Serie,"25,740",8.2,"Prescription: Murder,Murder, She Wrote,The Rockford Files,Matlock,Kojak,Quincy M.E.,Magnum, P.I.,The Streets of San Francisco,Diagnosis Murder,Hawaii Five-O,Hart to Hart,Mission: Impossible",Columbo             
"
                    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
            ",Francis Ford Coppola,"John Milius,Francis Ford Coppola,1 more credit",Drama,"
                        2h 27min
                    ",Movie,"582,324",8.4,"Full Metal Jacket,Alien,Indiana Jones and the Raiders of the Lost Ark,The Shining,Terminator 2: Judgment Day,2001: A Space Odyssey,Taxi Driver,One Flew Over the Cuckoo's Nest,Goodfellas,Platoon,Aliens,A Clockwork Orange",Apocalypse Now 
"
                    A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.
            ",Liz Flahive,"Alison Brie,Marc Maron,Betty Gilpin,See full cast & crew",Comedy,"
                        35min
                    ",Serie,"37,291",8.0,"Community,Russian Doll,Orange Is the New Black,GLOW: Gorgeous Ladies of Wrestling,Unbreakable Kimmy Schmidt,Horse Girl,Maniac,The Umbrella Academy,Love,The Good Place,New Girl,GLOW: The Story of the Gorgeous Ladies of Wrestling",GLOW             
"
                    Tells the story of Benjamin Button, a man who starts aging backwards with consequences.
            ",David Fincher,"Eric Roth,Eric Roth,2 more credits",Drama,"
                        2h 46min
                    ",Movie,"568,815",7.8,"Titanic,The Girl with the Dragon Tattoo,Troy,Zodiac,The Butterfly Effect,Life of Pi,Slumdog Millionaire,Cast Away,The Social Network,Mr. & Mrs. Smith,The Illusionist,Avatar",The Curious Case of Benjamin Button 
"
                    After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.
            ",Steve Lightfoot,"Jon Bernthal,Amber Rose Revah,Ben Barnes,See full cast & crew",Action,"
                        53min
                    ",Serie,"170,509",8.5,"Daredevil,The Defenders,Jessica Jones,Luke Cage,Iron Fist,Sherlock,The Boys,Narcos,Mindhunter,The Witcher,Spartacus,Prison Break",The Punisher             
"
                    Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.
            ",Gus Van Sant,"Matt Damon,Ben Affleck",Drama,"
                        2h 6min
                    ",Movie,"824,588",8.3,"A Beautiful Mind,Eternal Sunshine of the Spotless Mind,Inglourious Basterds,Catch Me If You Can,Reservoir Dogs,The Wolf of Wall Street,Django Unchained,The Truman Show,Saving Private Ryan,American History X,Braveheart,American Beauty",Good Will Hunting 
"
                    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.
            ",Denis Villeneuve,Aaron Guzikowski,Crime,"
                        2h 33min
                    ",Movie,"570,326",8.1,"Gone Girl,Shutter Island,The Prestige,12 Years a Slave,Logan,Nightcrawler,Hacksaw Ridge,Se7en,The Sixth Sense,Catch Me If You Can,The Wolf of Wall Street,Memento",Prisoners 
"
                    Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.
            ",Steven Knight,"Jason Momoa,Sylvia Hoeks,Hera Hilmar,See full cast & crew",Action,"
                        1h
                    ",Serie,"33,414",7.6,"The Witcher,Servant,The Morning Show,For All Mankind,Truth Be Told,Carnival Row,Vikings,Defending Jacob,13 Reasons Why,Taboo,The Boys,Peaky Blinders",See             
"
                    A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean.
            ",Leonardo Fasoli,"Andrea Riseborough,Giuseppe De Domenico,Dane DeHaan,See full cast & crew",Drama,"
                        1h
                    ",Serie,"7,433",8.2,"Gomorrah,The Immortal,Suburra: Blood on Rome,The Outsider,Narcos: Mexico,Gangs of London,Devs,Escape at Dannemora,El Chapo,The Plot Against America,Hunters,Succession",ZeroZeroZero             
"
                    Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
            ",Roland Emmerich,Robert Rodat,Action,"
                        2h 45min
                    ",Movie,"248,025",7.2,"We Were Soldiers,Pearl Harbor,Black Hawk Down,The Last Samurai,Enemy at the Gates,Braveheart,A Knight's Tale,Kingdom of Heaven,Valkyrie,Maverick,Payback,What Women Want",The Patriot 
"
                    A French club owner deals with the everyday chaos of running a live music venue in the heart of Paris.
            ",Jack Thorne,"André Holland,Joanna Kulig,Leïla Bekhti,See full cast & crew",Drama,,Serie,"1,205",7.1,"I Know This Much Is True,Inhuman Resources,The Great,Run,Hollywood,Normal People,The Assistant,White Lines,The Lovebirds,The Plot Against America,The Trip to Greece,Trial by Media",The Eddy             
"
                    After being presumed dead, passengers onboard Flight 828 return and discover the world has aged five years. As they reintegrate into society, they begin to experience guiding voices and visions, and soon a deeper mystery unfolds.
            ",Jeff Rake,"Melissa Roxburgh,Josh Dallas,Athena Karkanis,See full cast & crew",Drama,"
                        43min
                    ",Serie,"20,037",7.2,"New Amsterdam,Emergence,Blindspot,9-1-1,The Good Doctor,The 100,The Rookie,Legacies,9-1-1: Lone Star,The Gifted,FBI,The Resident",Manifest             
"
                    Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
            ",Ethan Coen,"Joel Coen,Ethan Coen,1 more credit",Crime,"
                        2h 2min
                    ",Movie,"816,947",8.1,"Fargo,Reservoir Dogs,The Big Lebowski,There Will Be Blood,Kill Bill: Vol. 1,Taxi Driver,Inglourious Basterds,Gran Torino,Django Unchained,Shutter Island,A Beautiful Mind,The Wolf of Wall Street",No Country for Old Men 
"
                    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
            ",Peter Farrelly,"Nick Vallelonga,Brian Hayes Currie,1 more credit",Biography,"
                        2h 10min
                    ",Movie,"323,796",8.2,"Three Billboards Outside Ebbing, Missouri,The Wolf of Wall Street,12 Years a Slave,Whiplash,A Beautiful Mind,The Intouchables,Django Unchained,The Green Mile,Shutter Island,Hacksaw Ridge,Léon: The Professional,Ford v Ferrari",Green Book 
"
                    Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.
            ",Susannah Grant,"Kaitlyn Dever,Toni Collette,Merritt Wever,See full cast & crew",Crime,"
                        6h 25min
                    ",Movie,"57,766",8.4,"When They See Us,Unorthodox,The Sinner,Bodyguard,You,The Stranger,Mindhunter,Big Little Lies,The Handmaid's Tale,Self Made: Inspired by the Life of Madam C.J. Walker,Safe,Sharp Objects",Unbelievable             
"
                    In German-occupied Poland during World War II, industrialist ",Steven Spielberg,"Thomas Keneally,Steven Zaillian",Biography,"
                        3h 15min
                    ",Movie,"1,166,416",8.9,"Pulp Fiction,The Lord of the Rings: The Return of the King,Forrest Gump,Saving Private Ryan,The Godfather: Part II,The Dark Knight,Fight Club,The Godfather,The Shawshank Redemption,The Green Mile,The Silence of the Lambs,Se7en",Schindler's List 
"
                    A dramatic series about the reign and marriages of King Henry VIII.
            ",Michael Hirst,"Jonathan Rhys Meyers,Henry Cavill,Anthony Brophy,See full cast & crew",Drama,"
                        1h
                    ",Serie,"66,025",8.1,"The Borgias,The White Queen,The White Princess,Victoria,Versailles,Reign,The Spanish Princess,Rome,Medici,Borgia,Poldark,Downton Abbey",The Tudors             
"
                    Four previously married women live together in Miami, sharing their various experiences together and enjoying themselves despite hard times.
            ",Susan Harris,"Bea Arthur,Betty White,Rue McClanahan,See full cast & crew",Comedy,"
                        30min
                    ",Serie,"29,814",7.9,"Roseanne,The Golden Palace,Three's Company,Mama's Family,Cheers,Maude,Will & Grace,Frasier,Designing Women,Married... with Children,All in the Family,Golden Girls",The Golden Girls             
"
                    An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror.
            ",Simon Kinberg,"Jordan Peele,David Epstein,Kelly Ann Woods,See full cast & crew",Drama,"
                        1h
                    ",Serie,"10,355",5.7,"The Twilight Zone,The Twilight Zone,The Twilight Zone,Electric Dreams,Twilight Zone: The Movie,Creepshow,Amazing Stories,Room 104,Avenue 5,Doom Patrol,Channel Zero,Star Trek: Picard",The Twilight Zone             
"
                    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.
            ",Christopher Nolan,Christopher Nolan,Action,"
                        1h 46min
                    ",Movie,"517,856",7.9,"The Revenant,The Imitation Game,The Dark Knight Rises,Arrival,Fury,The Martian,Gravity,Interstellar,Batman Begins,Inception,The Hateful Eight,The Prestige",Dunkirk 
"
                    Centers on a town where aliens with unearthly abilities live undercover among humans. But when a violent attack points to a greater alien presence, the politics of fear and hatred threaten to expose them.
            ",Carina Adly MacKenzie,"Jeanine Mason,Nathan Parsons,Michael Vlamis,See full cast & crew",Drama,"
                        45min
                    ",Serie,"7,742",6.1,"Roswell,Legacies,Nancy Drew,Charmed,Midnight, Texas,A Discovery of Witches,The Originals,Siren,The Secret Circle,Shadowhunters,The Passage,The Order","Roswell, New Mexico             "
"
                    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.
            ",Stanley Kubrick,"Stephen King,Stanley Kubrick,1 more credit",Drama,"
                        2h 26min
                    ",Movie,"854,029",8.4,"A Clockwork Orange,Full Metal Jacket,The Silence of the Lambs,One Flew Over the Cuckoo's Nest,2001: A Space Odyssey,Se7en,Django Unchained,Reservoir Dogs,Pulp Fiction,Alien,Psycho,Léon: The Professional",The Shining 
"
                    Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
            ",Mark Frost,"Kyle MacLachlan,Sheryl Lee,Michael Horse,See full cast & crew",Crime,"
                        1h
                    ",Serie,"51,362",8.5,"Twin Peaks,Twin Peaks: Fire Walk with Me,Twin Peaks: The Missing Pieces,Blue Velvet,The X-Files,Mulholland Drive,Wild at Heart,Eraserhead,Inland Empire,Lost Highway,True Detective,The Straight Story",Twin Peaks             
"
                    King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
            ",Zack Snyder,"Zack Snyder,Kurt Johnstad,3 more credits",Action,"
                        1h 57min
                    ",Movie,"717,073",7.6,"300: Rise of an Empire,Troy,I Am Legend,Hancock,I, Robot,World War Z,Men in Black,Mr. & Mrs. Smith,Independence Day,The Day After Tomorrow,Men in Black II,Fury",300 
"
                    After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.
            ",Ed Decter,"Katherine McNamara,Dominic Sherwood,Alberto Rosende,See full cast & crew",Action,"
                        42min
                    ",Serie,"49,768",6.6,"Teen Wolf,The Originals,The Vampire Diaries,Legacies,Pretty Little Liars,Chilling Adventures of Sabrina,The Secret Circle,The Mortal Instruments: City of Bones,Gossip Girl,Riverdale,The Order,The Shannara Chronicles",Shadowhunters             
"
                    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
            ",Martin McDonagh,Martin McDonagh,Comedy,"
                        1h 55min
                    ",Movie,"399,667",8.2,"Green Book,The Wolf of Wall Street,The Grand Budapest Hotel,Spotlight,Whiplash,Room,Hacksaw Ridge,Gone Girl,Catch Me If You Can,Fargo,No Country for Old Men,The Truman Show","Three Billboards Outside Ebbing, Missouri "
"
                    The lives of the kids at Degrassi Community School dealing with the serious and sometimes taboo issues that plague teenagers.
            ",Kit Hood,"Stefan Brogren,Aislinn Paul,Melinda Shankar,See full cast & crew",Drama,"
                        30min
                    ",Serie,"10,565",7.3,"Degrassi: Next Class,Degrassi: Minis,Degrassi Goes Hollywood,Degrassi TV,Degrassi Takes Manhattan,School's Out!,Drake: I'm Upset,Instant Star,Radio Free Roscoe,Summerland,The Best Years,All for One",Degrassi: The Next Generation             
"
                    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.
            ",Tom Ford,"Tom Ford,Austin Wright",Drama,"
                        1h 56min
                    ",Movie,"224,966",7.5,"Nightcrawler,Enemy,Donnie Darko,Southpaw,A Single Man,Demolition,Arrival,Prisoners,Zodiac,Wind River,Manchester by the Sea,Source Code",Nocturnal Animals 
"
                    A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.
            ",Jonathan Glassner,"Richard Dean Anderson,Michael Shanks,Amanda Tapping,See full cast & crew",Action,"
                        44min
                    ",Serie,"80,736",8.4,"Stargate: Atlantis,Stargate Universe,Stargate: Continuum,Stargate: The Ark of Truth,Stargate,Stargate SG-1: Children of the Gods - Final Cut,Farscape,Star Trek: Voyager,Sanctuary,Eureka,Star Trek: Enterprise,Star Trek: Deep Space Nine",Stargate SG-1             
"
                    A seasoned FBI agent pursues ",Steven Spielberg,"Jeff Nathanson,Frank Abagnale Jr.,1 more credit",Biography,"
                        2h 21min
                    ",Movie,"784,355",8.1,"The Wolf of Wall Street,Shutter Island,The Truman Show,A Beautiful Mind,V for Vendetta,The Departed,Kill Bill: Vol. 1,Django Unchained,Good Will Hunting,The Green Mile,Batman Begins,Saving Private Ryan",Catch Me If You Can 
"
                    In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to one hundred and twenty days of physical, mental and sexual torture.
            ",Pier Paolo Pasolini,"Pier Paolo Pasolini,Sergio Citti",Drama,"
                        1h 57min
                    ",Movie,"51,892",5.9,"The Decameron,Cannibal Holocaust,A Serbian Film,Antichrist,The Canterbury Tales,Teorema,Arabian Nights,Irreversible,Oedipus Rex,The Gospel According to St. Matthew,Martyrs,Porcile","Salò, or the 120 Days of Sodom "
"
                    A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology.
            ",Gaurav Shukla,"Arshad Warsi,Barun Sobti,Riddhi Dogra,See full cast & crew",Crime,"
                        43min
                    ",Serie,"16,428",8.5,"Special OPS,Mirzapur,Illegal - Justice, Out of Order,The Family Man,Panchayat,Sacred Games,Paatal Lok,Criminal Justice,Kota Factory,Hostel Daze,Apharan,Breathe",Asur: Welcome to Your Dark Side             
"
                    A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.
            ",Stanley Kubrick,"Stanley Kubrick,Frederic Raphael,1 more credit",Drama,"
                        2h 39min
                    ",Movie,"289,739",7.4,"Lolita,Barry Lyndon,A Clockwork Orange,Full Metal Jacket,2001: A Space Odyssey,Spartacus,The Shining,Mulholland Drive,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The Killing,Vanilla Sky,Killer's Kiss",Eyes Wide Shut 
"
                    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
            ",Bradley Cooper,"Eric Roth,Bradley Cooper,7 more credits",Drama,"
                        2h 16min
                    ",Movie,"309,016",7.7,"Bohemian Rhapsody,La La Land,Me Before You,The Shape of Water,The Notebook,Silver Linings Playbook,Her,The Fault in Our Stars,The Favourite,Marriage Story,Rocketman,If I Stay",A Star Is Born 
"
                    Three sisters discover their destiny, to battle against the forces of evil, using their witchcraft. They are the Charmed Ones.
            ",Constance M. Burge,"Holly Marie Combs,Alyssa Milano,Brian Krause,See full cast & crew",Drama,"
                        42min
                    ",Serie,"72,753",7.1,"Buffy the Vampire Slayer,Angel,Xena: Warrior Princess,Smallville,Charmed,Dark Angel,Hercules: The Legendary Journeys,Heroes,Roswell,Witches of East End,Lois & Clark: The New Adventures of Superman,True Blood",Charmed             
"
                    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.
            ",Michel Gondry,"Charlie Kaufman,Michel Gondry,2 more credits",Drama,"
                        1h 48min
                    ",Movie,"877,012",8.3,"The Truman Show,Requiem for a Dream,Good Will Hunting,American Beauty,V for Vendetta,A Beautiful Mind,Shutter Island,Memento,A Clockwork Orange,Amélie,Se7en,Catch Me If You Can",Eternal Sunshine of the Spotless Mind 
"
                    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.
            ",Nick Cassavetes,"Jeremy Leven,Jan Sardi,1 more credit",Drama,"
                        2h 3min
                    ",Movie,"501,205",7.8,"The Fault in Our Stars,Me Before You,Titanic,La La Land,The Vow,Crazy, Stupid, Love.,Dear John,Love, Rosie,A Walk to Remember,Friends with Benefits,Pride & Prejudice,500 Days of Summer",The Notebook 
"
                    El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past.
            ",Vince Gilligan,"Vince Gilligan,Vince Gilligan",Action,"
                        2h 2min
                    ",Movie,"164,205",7.4,"Breaking Bad,Better Call Saul,The Road to El Camino: A Breaking Bad Movie,The Irishman,John Wick: Chapter 3 - Parabellum,The Revenant,Black Mirror: Bandersnatch,John Wick: Chapter 2,Deadpool,John Wick,Glass,Gravity",El Camino: A Breaking Bad Movie 
"
                    A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
            ",Todd Haynes,"Nathaniel Rich,Mario Correa,1 more credit",Biography,"
                        2h 6min
                    ",Movie,"36,513",7.6,"Richard Jewell,Just Mercy,The Way Back,Motherless Brooklyn,Official Secrets,Bombshell,A Beautiful Day in the Neighborhood,Ford v Ferrari,The Two Popes,The Report,The Invisible Man,Queen & Slim",Dark Waters 
"
                    Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.
            ",J.C. Chandor,"Mark Boal,J.C. Chandor,1 more credit",Action,"
                        2h 5min
                    ",Movie,"97,682",6.4,"6 Underground,Polar,The Highwaymen,Spenser Confidential,12 Strong,Bright,The Accountant,The Siege of Jadotville,Outlaw King,13 Hours,The Town,American Sniper",Triple Frontier 
"
                    Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.
            ",Melissa Rosenberg,"Krysten Ritter,Rachael Taylor,Eka Darville,See full cast & crew",Action,"
                        56min
                    ",Serie,"186,769",8.0,"Luke Cage,The Defenders,Iron Fist,Daredevil,The Punisher,Agent Carter,Agents of S.H.I.E.L.D.,Arrow,Titans,The Umbrella Academy,DC's Legends of Tomorrow,Gotham",Jessica Jones             
"
                    A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.
            ",Hank Steinberg,"Nicholas Pinnock,Indira Varma,Joy Bryant,See full cast & crew",Biography,,Serie,"1,763",7.5,"FBI: Most Wanted,Tommy,9-1-1: Lone Star,Lincoln Rhyme: Hunt for the Bone Collector,Transplant,Prodigal Son,All Rise,Deputy,Briarpatch,Almost Paradise,Little Fires Everywhere,Stumptown",For Life             
"
                    Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.
            ",Chris Fedak,"Tom Payne,Lou Diamond Phillips,Halston Sage,See full cast & crew",Crime,"
                        44min
                    ",Serie,"8,596",7.7,"Evil,Stumptown,Lincoln Rhyme: Hunt for the Bone Collector,FBI: Most Wanted,Deputy,Bluff City Law,9-1-1: Lone Star,Emergence,The Rookie,For Life,FBI,All Rise",Prodigal Son             
"
                    A homicide detective discovers he is a descendant of hunters who fight supernatural forces.
            ",Stephen Carpenter,"David Giuntoli,Russell Hornsby,Silas Weir Mitchell,See full cast & crew",Crime,"
                        45min
                    ",Serie,"106,462",7.8,"Sleepy Hollow,Once Upon a Time,iZombie,Teen Wolf,The Originals,The Vampire Diaries,True Blood,Bitten,Shadowhunters,The Secret Circle,Supernatural,Arrow",Grimm             
"
                    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
            ",Denis Villeneuve,"Eric Heisserer,Ted Chiang",Drama,"
                        1h 56min
                    ",Movie,"564,895",7.9,"The Martian,Gravity,Blade Runner 2049,Ex Machina,Sicario,Avatar,The Revenant,Dunkirk,Life of Pi,Her,The Imitation Game,La La Land",Arrival 
"
                    American security guard ",Clint Eastwood,"Billy Ray,Marie Brenner,2 more credits",Biography,"
                        2h 11min
                    ",Movie,"39,661",7.5,"Just Mercy,Dark Waters,Bombshell,A Beautiful Day in the Neighborhood,The Good Liar,The Way Back,Official Secrets,The Mule,An Officer and a Spy,Ford v Ferrari,Motherless Brooklyn,The Gentlemen",Richard Jewell 
"
                    Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.
            ",Drew Pearce,Drew Pearce,Action,"
                        1h 34min
                    ",Movie,"39,462",6.1,"Peppermint,Mile 22,Bad Times at the El Royale,From Nowhere,Stuber,Silence,American Ultra,Lockout,Captive State,Den of Thieves,The Happytime Murders,Transpecos",Hotel Artemis 
"
                    After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.
            ",Matthew Cirulnick,"Stana Katic,Patrick Heusinger,Neil Jackson,See full cast & crew",Crime,"
                        1h
                    ",Serie,"9,677",7.3,"The Widow,Hanna,Castle,Bosch,Homecoming,Tin Star,Tom Clancy's Jack Ryan,Blindspot,The Killing,The Kettering Incident,The Stranger,Sneaky Pete",Absentia             
"
                    After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.
            ",Sean Penn,"Sean Penn,Jon Krakauer",Adventure,"
                        2h 28min
                    ",Movie,"552,110",8.1,"A Beautiful Mind,V for Vendetta,Dead Poets Society,The Truman Show,Catch Me If You Can,12 Years a Slave,Good Will Hunting,Million Dollar Baby,Gone Girl,Requiem for a Dream,Amélie,Eternal Sunshine of the Spotless Mind",Into the Wild 
